Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion
Sao Tome and Principe,Sub-Saharan Africa,2 meter,0,178,0,4549,0.450711538
Tanzania,Sub-Saharan Africa,2 meter,17,17035,0.099794541,4549,0.450711538
Namibia,Sub-Saharan Africa,2 meter,4,12417,0.0322139,4549,0.450711538
Angola,Sub-Saharan Africa,3 meter,209,27653,0.755795031,7324,0.725656474
Benin,Sub-Saharan Africa,3 meter,880,5962,14.7601476,7324,0.725656474
"Congo, Rep.",Sub-Saharan Africa,3 meter,3,2881,0.10413051,7324,0.725656474
"Congo, Dem. Rep.",Sub-Saharan Africa,3 meter,17,37331,0.04553856,7324,0.725656474
Cameroon,Sub-Saharan Africa,3 meter,47,24386,0.192733536,7324,0.725656474
Djibouti,Sub-Saharan Africa,3 meter,11,1487,0.739744452,7324,0.725656474
Equatorial Guinea,Sub-Saharan Africa,3 meter,2,960,0.208333333,7324,0.725656474
Ethiopia,Sub-Saharan Africa,3 meter,181,49241,0.367579862,7324,0.725656474
Gambia,Sub-Saharan Africa,3 meter,195,2567,7.59641605,7324,0.725656474
Gabon,Sub-Saharan Africa,3 meter,31,7385,0.419769804,7324,0.725656474
Ghana,Sub-Saharan Africa,3 meter,577,42213,1.366877502,7324,0.725656474
Guinea,Sub-Saharan Africa,3 meter,469,14174,3.308875406,7324,0.725656474
Ivory Coast,Sub-Saharan Africa,3 meter,292,24159,1.208659299,7324,0.725656474
Kenya,Sub-Saharan Africa,3 meter,89,29623,0.300442224,7324,0.725656474
Liberia,Sub-Saharan Africa,3 meter,42,3350,1.253731343,7324,0.725656474
Madagascar,Sub-Saharan Africa,3 meter,84,12577,0.667885823,7324,0.725656474
Mauritania,Sub-Saharan Africa,3 meter,869,4972,17.47787611,7324,0.725656474
Mozambique,Sub-Saharan Africa,3 meter,164,17660,0.928652322,7324,0.725656474
Nigeria,Sub-Saharan Africa,3 meter,1734,109412,1.584835301,7324,0.725656474
Guinea-Bissau,Sub-Saharan Africa,3 meter,21,1150,1.826086957,7324,0.725656474
South Africa,Sub-Saharan Africa,3 meter,177,470466,0.037622272,7324,0.725656474
Senegal,Sub-Saharan Africa,3 meter,1124,13848,8.116695552,7324,0.725656474
Sierra Leone,Sub-Saharan Africa,3 meter,22,2285,0.962800875,7324,0.725656474
Somalia,Sub-Saharan Africa,3 meter,8,4300,0.186046512,7324,0.725656474
Sudan,Sub-Saharan Africa,3 meter,36,62128,0.057944888,7324,0.725656474
Togo,Sub-Saharan Africa,3 meter,17,7493,0.22687842,7324,0.725656474
Sao Tome and Principe,Sub-Saharan Africa,3 meter,0,178,0,7324,0.725656474
Tanzania,Sub-Saharan Africa,3 meter,19,17035,0.111535075,7324,0.725656474
Namibia,Sub-Saharan Africa,3 meter,4,12417,0.0322139,7324,0.725656474
Angola,Sub-Saharan Africa,4 meter,385,27653,1.392254005,11076,1.097401845
Benin,Sub-Saharan Africa,4 meter,931,5962,15.61556525,11076,1.097401845
"Congo, Rep.",Sub-Saharan Africa,4 meter,7,2881,0.242971191,11076,1.097401845
